"Audit No.", "Audit Title", "Status"
"S1.1.1.1", "Ensure mounting of cramfs filesystems is disabled ", "Fail"
"S1.1.1.2", "Ensure mounting of freevxfs filesystems is disabled", "Fail"
"S1.1.1.3", "Ensure mounting of jffs2 filesystems is disabled", "Fail"
"S1.1.1.4", "Ensure mounting of hfs filesystems is disabled", "Fail"
"S1.1.1.5", "Ensure mounting of hfsplus filesystems is disabled", "Fail"
"S1.1.1.7", "Ensure mounting of udf filesystems is disabled", "Fail"
"S1.1.2", "Ensure /tmp is configured", "Fail"
"S1.1.3", "Ensure nodev option set on /tmp partition", "Pass"
"S1.1.4", "Ensure nosuid option set on /tmp partition", "Pass"
"S1.1.5", "Ensure noexec option set on /tmp partition", "Pass"
"S1.1.6", "Ensure /dev/shm is configured", "Pass"
"S1.1.7", "Ensure nodev option set on /dev/shm partition", "Pass"
"S1.1.8", "Ensure nosuid option set on /dev/shm partition", "Pass"
"S1.1.9", "Ensure noexec option set on /dev/shm partition", "Fail"
"S1.1.10", "Ensure separate partition exists for /var", "Fail"
"S1.1.11", "Ensure separate partition exists for /var/tmp", "Fail"
"S1.1.12", "Ensure /var/tmp partition includes the nodev option", "Pass"
"S1.1.13", "Ensure /var/tmp partition includes the nosuid option", "Pass"
"S1.1.14", "Ensure /var/tmp partition includes the noexec option", "Pass"
"S1.1.15", "Ensure separate partition exists for /var/log", "Fail"
"S1.1.16", "Ensure separate partition exists for /var/log/audit", "Fail"
"S1.1.17", "Ensure separate partition exists for /home", "Fail"
"S1.1.18", "Ensure /home partition includes the nodev option", "Pass"
"S1.1.22", "Ensure sticky bit is set on all world-writable directories", "Pass"
"S1.1.23", "Disable Automounting", "Pass"
"S1.1.24", "Disable USB Storage", "Fail"
"S1.3.1", "Ensure AIDE is installed", "Fail"
"S1.3.2", "Ensure filesystem integrity is regularly checked", "Fail"
"S1.4.1", "Ensure permissions on bootloader config are not overridden", "Fail"
"S1.4.2", "Ensure bootloader password is set", "Fail"
"S1.4.3", "Ensure permissions on bootloader config are configured", "Fail"
"S1.4.4", "Ensure authentication required for single user mode", "Fail"
"S1.5.2", "Ensure address space layout randomization (ASLR) is enabled", "Pass"
"S1.5.3", "Ensure prelink is not installed", "Pass"
"S1.5.4", "Ensure core dumps are restricted", "Fail"
"S1.6.1.1", "Ensure AppArmor is installed", "Pass"
"S1.6.1.2", "Ensure AppArmor is enabled in the bootloader configuration", "Fail"
"S1.6.1.3", "Ensure all AppArmor Profiles are in enforce or complain mode", "Pass"
"S1.6.1.4", "Ensure all AppArmor Profiles are enforcing", "Fail"
"S1.7.1", "Ensure message of the day is configured properly", "Pass"
"S1.7.2", "Ensure local login warning banner is configured properly", "Fail"
"S1.7.3", "Ensure remote login warning banner is configured properly", "Fail"
"S1.7.4", "Ensure permissions on /etc/motd are configured", "Pass"
"S1.7.5", "Ensure permissions on /etc/issue are configured", "Pass"
"S1.7.6", "Ensure permissions on /etc/issue.net are configured", "Pass"
"S1.8.2", "Ensure GDM login banner is configured", "Fail"
"S1.8.3", "Ensure disable-user-list is enabled", "Fail"
"S1.8.4", "Ensure XDCMP is not enabled", "Pass"
"S2.1.1.1", "Ensure time synchronization is in use", "Fail"
"S2.1.1.2", "Ensure systemd-timesyncd is configured", "Pass"
"S2.1.3", "Ensure Avahi Server is not installed", "Fail"
"S2.1.4", "Ensure CUPS is not installed", "Fail"
"S2.1.5", "Ensure DHCP Server is not installed", "Pass"
"S2.1.6", "Ensure LDAP Server is not installed", "Pass"
"S2.1.7", "Ensure NFS is not installed", "Pass"
"S2.1.8", "Ensure DNS Server is not installed", "Fail"
"S2.1.9", "Ensure FTP Server is not installed", "Pass"
"S2.1.10", "Ensure HTTP Server is not installed", "Pass"
"S2.1.11", "Ensure IMAP and POP3 Server is not installed", "Pass"
"S2.1.12", "Ensure Samba is not installed", "Fail"
"S2.1.13", "Ensure HTTP Proxy Server is not installed", "Pass"
"S2.1.14", "Ensure SNMP Server is not installed", "Fail"
"S2.1.15", "Ensure mail transfer agent is configured for local-only mode", "Pass"
"S2.1.16", "Ensure rsync service is not installed", "Fail"
"S2.1.17", "Ensure NIS Server is not installed", "Fail"
"S2.2.1", "Ensure NIS Client is not installed", "Fail"
"S2.2.2", "Ensure rsh client is not installed", "Pass"
"S2.2.3", "Ensure talk client is not installed", "Fail"
"S2.2.4", "Ensure telnet client is not installed", "Fail"
"S2.2.5", "Ensure LDAP client is not installed", "Pass"
"S2.2.6", "Ensure RPC is not installed", "Pass"
"S3.1.2", "Ensure wireless interfaces are disabled", "Fail"
"S3.2.1", "Ensure packet redirect sending is disabled", "Fail"
"S3.2.2", "Ensure IP forwarding is disabled", "Pass"
"S3.3.1", "Ensure source routed packets are not accepted", "Fail"
